id,cid,collection_name,path,hash,size,lastModifiedNano,attachmentId,directoryId,filename,rootCid,pieceCid
79,bafkreihs43wowk6xpshojchapp3z43qf5gxzacvccybqthszoki7x2e6jm,cbp,temp,,729816,1709249196300196200,1,5,cpb_waterquality_2008_02.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
80,bafkreiaevovmuw6fihkipzgdkisbyir5id6rpesmvy7cxae4pbgj32iapi,cbp,temp,,863647,1709249197833938100,1,5,cpb_waterquality_2008_03.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
82,bafybeichqq2by37ysag3ncstno6ewznme3oh72pojrmrfrqmrb6ypmqymi,cbp,temp,,1900340,1709249201971683300,1,5,cpb_waterquality_2008_05.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
83,bafybeihtvvg7lrgnbqwaq7av5z65xpwpkrodlnsify2j4gtjxuhusuzhqi,cbp,temp,,1997616,1709249204141295400,1,5,cpb_waterquality_2008_06.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
84,bafybeicayzweafgfs3ep4gz5gevo3vearuh525wcgntfh5uoevlhc6tirm,cbp,temp,,2067254,1709249206257039200,1,5,cpb_waterquality_2008_07.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
86,bafybeifnrnj4534eifh5qvlpaltnzmp6vakb2brcc6au6u5opwtvyey3ze,cbp,temp,,1793235,1709249210433198700,1,5,cpb_waterquality_2008_09.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
87,bafybeiaz3bs3qb47k4z6srvowcxwdvejtnyuo37asvc3ik3mznig4oxa4a,cbp,temp,,1631321,1709249212395817200,1,5,cpb_waterquality_2008_10.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
88,bafkreicw7qzzfty3fwza6bx5eblyba7toj4hqznqjhn4pxn5wkfo42afgq,cbp,temp,,681410,1709249214195775000,1,5,cpb_waterquality_2008_11.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
90,bafkreie55hgi5cxajmww4ahyagy3rfjky2x5eefyi6yx2pfm6qlrk6fbty,cbp,temp,,667844,1709249217053222400,1,5,cpb_waterquality_2009_01.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
91,bafkreigoksba4kqccsp7gmk2wy7qtsxjohzhmeypmcix33cvl23iabrdae,cbp,temp,,645890,1709249218454145600,1,5,cpb_waterquality_2009_02.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
92,bafkreib3fgpldfnqqqcetiavrqnm2xqutccfo65bcyhos5bhlct653vo2i,cbp,temp,,947155,1709249220042188700,1,5,cpb_waterquality_2009_03.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
94,bafybeiggkimjzjplfpqrmmoww3u7bbx6fpxf2aahvjvvpjryulqe4q64gi,cbp,temp,,1531942,1709249223635496000,1,5,cpb_waterquality_2009_05.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
95,bafybeiambyhy7pgsttfiyycab7sjisyimoknddlcnc2c2vmurnhjikn5sm,cbp,temp,,1463851,1709249225675473500,1,5,cpb_waterquality_2009_06.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
96,bafybeieq7urenot57zo232agavslhuejsnfaxa6lsg37dqm3bhhzf7rrwi,cbp,temp,,1790979,1709249227579690800,1,5,cpb_waterquality_2009_07.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
98,bafybeiftpv2mwb5pdoj2twdh2hboxtconwod6bn2bklvwyrffztfscztq4,cbp,temp,,1471333,1709249231410514900,1,5,cpb_waterquality_2009_09.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
99,bafybeifz4gwevl2hfgl3qmktxbifmtndezqg2qggmjgr62fsepb66nsv5i,cbp,temp,,1237623,1709249233089492200,1,5,cpb_waterquality_2009_10.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
100,bafkreieti44u5usy2htmu3plls2beaiqratlmcu6dph2lbxrfbgw7ts7wa,cbp,temp,,802764,1709249234564866300,1,5,cpb_waterquality_2009_11.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
102,bafkreiexgts2hzlwr6gfpjjlvvrmalgucag7vylepikqqnwurpue3cxdfq,cbp,temp,,688395,1709249237505430700,1,5,cpb_waterquality_2010_01.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
103,bafkreig3wyq2kgfgiuyr2i6mhydemx5xapyqsubqnehlm65k5cmdbxryuy,cbp,temp,,562447,1709249238882001500,1,5,cpb_waterquality_2010_02.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
104,bafkreibbppl3h25wy4ttx4yk6nmng7zioux4ayuqnnndh6uoovedrunwpi,cbp,temp,,1043317,1709249240449136900,1,5,cpb_waterquality_2010_03.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
